fecha,presentacion,origen,destino,precio_minimo,precio_maximo,precio_frecuente,obs,fecha_inicio_query,fecha_final_query,producto_id,origen_id,destino_id,origen_query,destino_query,precios_por_id,registros_por_pagina,fuente,fecha_extraccion
13/03/2026,Kilogramo,Michoacán,Guanajuato: Central de Abasto de León,40.0,43.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
03/03/2026,Kilogramo,Michoacán,Guerrero: Central de Abastos de Acapulco,80.0,80.0,80.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
04/03/2026,Kilogramo,Michoacán,Guerrero: Central de Abastos de Acapulco,80.0,80.0,80.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
05/03/2026,Kilogramo,Michoacán,Guerrero: Central de Abastos de Acapulco,80.0,80.0,80.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
06/03/2026,Kilogramo,Michoacán,Guerrero: Central de Abastos de Acapulco,80.0,80.0,80.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
09/03/2026,Kilogramo,Michoacán,Guerrero: Central de Abastos de Acapulco,80.0,80.0,80.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
10/03/2026,Kilogramo,Michoacán,Guerrero: Central de Abastos de Acapulco,80.0,80.0,80.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
11/03/2026,Kilogramo,Michoacán,Guerrero: Central de Abastos de Acapulco,80.0,80.0,80.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
12/03/2026,Kilogramo,Michoacán,Guerrero: Central de Abastos de Acapulco,80.0,80.0,80.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
13/03/2026,Kilogramo,Michoacán,Guerrero: Central de Abastos de Acapulco,80.0,80.0,80.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
03/03/2026,Caja de 24 kg.,Nayarit,Hidalgo: Central de Abasto de Pachuca,40.0,45.0,45.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
04/03/2026,Caja de 24 kg.,Nayarit,Hidalgo: Central de Abasto de Pachuca,40.0,45.0,45.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
05/03/2026,Caja de 24 kg.,Nayarit,Hidalgo: Central de Abasto de Pachuca,40.0,45.0,40.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
06/03/2026,Caja de 24 kg.,Nayarit,Hidalgo: Central de Abasto de Pachuca,40.0,45.0,45.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
09/03/2026,Caja de 24 kg.,Nayarit,Hidalgo: Central de Abasto de Pachuca,38.0,44.0,38.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
10/03/2026,Caja de 24 kg.,Nayarit,Hidalgo: Central de Abasto de Pachuca,38.0,44.0,38.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
11/03/2026,Caja de 24 kg.,Nayarit,Hidalgo: Central de Abasto de Pachuca,36.0,42.0,36.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
12/03/2026,Caja de 24 kg.,Nayarit,Hidalgo: Central de Abasto de Pachuca,38.0,44.0,38.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
13/03/2026,Caja de 24 kg.,Nayarit,Hidalgo: Central de Abasto de Pachuca,38.0,44.0,38.0,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
03/03/2026,Caja de 9 kg.,Jalisco,Jalisco: Mercado de Abasto de Guadalajara,31.11,35.56,33.33,,2026-03-03,2026-03-16,133,-1,-1,-1,-1,2,,sniim_frutas_hortalizas,2026-04-07T23:40:16
